id,title,alt_title,type,num_of_ep,studio,year,rating
60,Great Teacher Onizuka,No alternative title found,TV Series,43,Studio Pierrot,1999,4.5
400,Cowboy Bebop,No alternative title found,TV Series,26,Sunrise,1998,4.5
3993,Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV Series,13,Brain's Base,2011,4.5
7640,Food Wars! The Second Plate,Shokugeki no Souma: Ni no Sara,TV Series,13,J.C. Staff,2016,4.5
6853,The Boy and the Beast,Bakemono no Ko,Movie,1,Studio Chizu,2015,4.5
7783,Yona of the Dawn: Zeno Arc,Akatsuki no Yona: Zeno Arc,OVA,2,Studio Pierrot,2016,4.5
9011,Fairy Tail (2018),No alternative title found,TV Series,4,A-1 Pictures,2018,4.5
5328,Kuroko's Basketball 2,Kuroko no Basket 2,TV Series,25,Production I.G,2013,4.5
8949,Food Wars! The Third Plate,Shokugeki no Souma: San no Sara,TV Series,12,J.C. Staff,2017,4.5
7172,Kamisama Kiss OVA 2,Kamisama Hajimemashita: Kako-hen,OVA,4,TMS Entertainment,2015,4.5
9431,Food Wars! The Third Plate: Totsuki Train Arc,Shokugeki no Souma: San no Sara  - Toutsuki Ressha,TV Series,12,J.C. Staff,2018,4.5
322,Legend of the Galactic Heroes,Ginga Eiyuu Densetsu,OVA,110,Artland,1988,4.5
7585,My Hero Academia,Boku no Hero Academia,TV Series,13,Bones,2016,4.5
4707,Bakuman. 3,No alternative title found,TV Series,25,J.C. Staff,2012,4.5
9952,Overlord III,No alternative title found,TV Series,13,MADHOUSE,2018,4.5
2265,Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,TV Series,13,Brain's Base,2009,4.5
4397,Steins;Gate Movie: Load Region of Deja Vu,Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,1,WHITE FOX,2013,4.5
3805,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),The Garden of Sinners Movie 7: Murder Speculation Part B (...not nothing heart.),Movie,1,ufotable,2009,4.5
8102,The Seven Deadly Sins: Revival of The Commandments,Nanatsu no Taizai: Imashime no Fukkatsu,TV Series,24,A-1 Pictures,2018,4.5
6039,Parasyte -the maxim-,Kiseijuu: Sei no Kakuritsu,TV Series,24,MADHOUSE,2014,4.5
9230,Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,DVD Special,2,Shuka,2017,4.5
8315,Natsume Yuujinchou Go Specials,Natsume's Book of Friends Season 5 Specials,DVD Special,2,Shuka,2017,4.5
1048,Death Note,No alternative title found,TV Series,37,MADHOUSE,2006,4.5
2283,Major Season 5,No alternative title found,TV Series,25,Studio Hibari,2009,4.5
6774,Food Wars! Shokugeki no Souma,Shokugeki no Souma,TV Series,24,J.C. Staff,2015,4.5
9914,Quan Zhi Gao Shou (2018),The King's Avatar (2018),OVA,3,G.CMay Animation & Film,2018,4.5
8267,Code Geass: Lelouch of the Rebellion Movie 3,No alternative title found,Movie,1,Sunrise,2018,4.5
5323,Attack on Titan,Shingeki no Kyojin,TV Series,25,Wit Studio,2013,4.5
7140,Steins;Gate 0,No alternative title found,TV Series,23,WHITE FOX,2018,4.5
1188,Hellsing Ultimate,No alternative title found,OVA,10,MADHOUSE,2006,4.5
1053,Mushishi,No alternative title found,TV Series,26,Artland,2005,4.5
7577,JoJo's Bizarre Adventure: Diamond is Unbreakable,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV Series,39,David Production,2016,4.5
2842,Gintama: Shinyaku Benizakura-hen,Gintama: The Movie,Movie,1,Sunrise,2010,4.5
7148,Noragami Aragoto,No alternative title found,TV Series,13,Bones,2015,4.5
4458,Steins;Gate: Egoistic Poriomania,Steins;Gate: Oukoubakko no Poriomania,DVD Special,1,WHITE FOX,2012,4.5
6087,Barakamon,No alternative title found,TV Series,12,Kinema Citrus,2014,4.5
9802,That Time I Got Reincarnated as a Slime,Tensei Shitara Slime Datta Ken,TV Series,5,8-Bit,2018,4.5
566,Ghost in the Shell: Stand Alone Complex 2nd Gig,No alternative title found,TV Series,26,Production I.G,2004,4.5
7939,Violet Evergarden,No alternative title found,TV Series,13,Kyoto Animation,2018,4.5
6808,Attack on Titan 2nd Season,Shingeki no Kyojin 2nd Season,TV Series,12,Wit Studio,2017,4.5
7549,Black Butler: Book of the Atlantic,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,A-1 Pictures,2017,4.5
3752,Anohana: The Flower We Saw That Day,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV Series,11,A-1 Pictures,2011,4.5
8973,Maquia - When the Promised Flower Blooms,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,P.A. Works,2018,4.5
5750,No Game No Life,No alternative title found,TV Series,12,MADHOUSE,2014,4.5
5098,Chihayafuru 2,No alternative title found,TV Series,25,MADHOUSE,2013,4.5
6694,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV Series,24,David Production,2015,4.5
1078,Tengen Toppa Gurren Lagann,Gurren Lagann,TV Series,27,Gainax,2007,4.5
6830,Shouwa Genroku Rakugo Shinjuu,No alternative title found,TV Series,13,Studio Deen,2016,4.5
3999,Bakuman. 2,No alternative title found,TV Series,25,J.C. Staff,2011,4.5
9376,Castlevania Season 2,No alternative title found,Web,8,Frederator Studios,2018,4.5
2481,Spice and Wolf II,Ookami to Koushinryou 2,TV Series,12,Brain's Base,2009,4.5
2636,Evangelion: 2.0 You Can (Not) Advance,No alternative title found,Movie,1,Studio Khara,2009,4.5
7623,Mob Psycho 100,No alternative title found,TV Series,12,Bones,2016,4.5
3210,One Piece Movie 10: Strong World,No alternative title found,Movie,1,Toei Animation,2009,4.5
7688,Gintama OVA,Gintama: Aizome Kaori-hen,OVA,2,BN Pictures,2016,4.5
710,Hajime no Ippo: Champion Road,No alternative title found,Movie,1,MADHOUSE,2003,4.5
6861,Fate/stay night: Unlimited Blade Works 2,No alternative title found,TV Series,13,ufotable,2015,4.5
1277,Black Lagoon: The Second Barrage,No alternative title found,TV Series,12,MADHOUSE,2006,4.5
6630,Attack on Titan: No Regrets,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Wit Studio,2014,4.5
8679,Haikyuu!!: Tokushuu! Harukou Volley ni Kaketa Seishun,No alternative title found,OVA,1,Production I.G,2017,4.5
5505,Magi: The Kingdom of Magic,No alternative title found,TV Series,25,A-1 Pictures,2013,4.5
4576,Kuroko's Basketball,Kuroko no Basket,TV Series,25,Production I.G,2012,4.5
5844,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA,1,Brain's Base,2014,4.5
1133,The Girl Who Leapt Through Time,Toki wo Kakeru Shoujo,Movie,1,MADHOUSE,2006,4.5
4649,Kids on the Slope,Sakamichi no Apollon,TV Series,12,Tezuka Productions,2012,4.5
2118,Toradora!,No alternative title found,TV Series,25,J.C. Staff,2008,4.5
6036,Fate/stay night: Unlimited Blade Works,No alternative title found,TV Series,12,ufotable,2014,4.5
6605,Kamisama Kiss 2nd Season,Kamisama Hajimemashita◎,TV Series,12,TMS Entertainment,2015,4.5
8591,The Ancient Magus' Bride,Mahou Tsukai no Yome,TV Series,24,Wit Studio,2017,4.4
3626,Fate/Zero,No alternative title found,TV Series,13,ufotable,2011,4.4
8603,Haikyuu!! Movie 3: Sainou to Sense,No alternative title found,Movie,1,Production I.G,2017,4.4
5517,The Seven Deadly Sins,Nanatsu no Taizai,TV Series,24,A-1 Pictures,2014,4.4
1433,Baccano!,No alternative title found,TV Series,13,Brain's Base,2007,4.4
1436,Major Season 2,No alternative title found,TV Series,26,Studio Hibari,2005,4.4
6144,Black Butler: Book of Murder,Kuroshitsuji: Book of Murder,OVA,2,A-1 Pictures,2014,4.4
146,Nausicaa of the Valley of the Wind,Kaze no Tani no Nausicaa,Movie,1,Top Craft,1984,4.4
1444,Major Season 3,No alternative title found,TV Series,26,Studio Hibari,2007,4.4
437,Fullmetal Alchemist,Hagane no Renkinjutsushi,TV Series,51,Bones,2003,4.4
2770,Summer Wars,No alternative title found,Movie,1,MADHOUSE,2009,4.4
1880,Sword of the Stranger,Stranger -Mukou Hadan-,Movie,1,Bones,2007,4.4
1017,Ouran High School Host Club,Ouran Koukou Host Club,TV Series,26,Bones,2006,4.4
6028,Black Butler: Book of Circus,Kuroshitsuji: Book of Circus,TV Series,10,A-1 Pictures,2014,4.4
7294,Kuroko's Basketball: The Greatest Present,Kuroko no Basket: Saikou no Present Desu,DVD Special,1,Production I.G,2015,4.4
7344,Re:ZERO -Starting Life in Another World-,Re:Zero Kara Hajimeru Isekai Seikatsu,TV Series,25,WHITE FOX,2016,4.4
5434,Kingdom 2,No alternative title found,TV Series,39,Studio Pierrot,2013,4.4
7825,Kuroko's Basketball: Last Game,Kuroko no Basket: Last Game,Movie,1,Production I.G,2017,4.4
664,Monster,No alternative title found,TV Series,74,MADHOUSE,2004,4.4
5680,Silver Spoon 2nd Season,Gin no Saji 2nd Season,TV Series,11,A-1 Pictures,2014,4.4
236,My Neighbor Totoro,Tonari no Totoro,Movie,1,Studio Ghibli,1988,4.4
6008,Ping Pong The Animation,No alternative title found,TV Series,11,Tatsunoko Production,2014,4.4
4901,Psycho-Pass,No alternative title found,TV Series,22,Production I.G,2012,4.4
