id,tags
5394,Comedy
5394,Drama
5394,Supernatural
5394,Based on a Light Novel
2877,Drama
2877,Sci Fi
2877,Psychological
2877,Time Travel
2877,Based on a Light Novel
9911,Action
9911,Adventure
9911,Mystery
9911,Chinese Animation
9911,Historical
9911,Supernatural
9911,Xianxia
9029,Action
9029,Comedy
9029,Drama
9029,Sci Fi
9029,Shounen
9029,Aliens
9029,Crude
9029,Feudal Japan
9029,Gag
9029,Samurai
9029,Slapstick
9029,Swordplay
9029,Based on a Manga
250,Action
250,Adventure
250,Fantasy
250,Environmental
250,Feudal Japan
250,Forest
250,Japanese Mythology
250,Original Work
250,Royalty
7283,Drama
7283,Mystery
7283,Seinen
7283,Age Transformation
7283,Melancholy
7283,noitaminA
7283,Serial Killers
7283,Supernatural
7283,Time Travel
7283,Animal Abuse
7283,Mature Themes
7283,Physical Abuse
7283,Based on a Manga
3803,Mystery
3803,Overpowered Main Characters
3803,Supernatural
3803,Based on a Light Novel
5915,Fantasy
5915,Seinen
5915,Countryside
5915,Illness
5915,Supernatural
5915,Based on a Manga
1080,Adventure
1080,Fantasy
1080,Romance
1080,Family Friendly
1080,Lifestyle Change
1080,Magic
1080,Based on a Novel
7532,Action
7532,Ecchi
7532,Psychological
7532,Supernatural
7532,Vampires
7532,Explicit Violence
7532,Based on a Light Novel
52,Romance
52,19th Century
52,Feudal Japan
52,Melancholy
52,Samurai
52,Star-Crossed Lovers
52,Swordplay
52,Violence
52,Based on a Manga
8335,Comedy
8335,Shounen
8335,Slice of Life
8335,Breaking the Fourth Wall
8335,Gag
8335,Psychic Powers
8335,School Life
8335,Supernatural
8335,Superpowers
8335,Based on a Manga
4683,Action
4683,Fantasy
4683,Contemporary Fantasy
4683,Magic
4683,Proxy Battles
4683,Rivalries
4683,Superpowers
4683,Urban Fantasy
4683,Violence
4683,Based on a Light Novel
3751,Drama
3751,Josei
3751,Slice of Life
3751,Childcare
3751,Family Life
3751,Iyashikei
3751,Lifestyle Change
3751,noitaminA
3751,Single Parent
3751,Based on a Manga
8001,Action
8001,Adventure
8001,Drama
8001,Fantasy
8001,High Stakes Games
8001,War
8001,Based on a Light Novel
5709,Action
5709,Drama
5709,Shounen
5709,Sports
5709,Boxing
5709,Hand to Hand Combat
5709,Based on a Manga
6877,Fantasy
6877,Seinen
6877,Countryside
6877,Forest
