title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Hunter x Hunter (2011),No alternative title found,TV Series,148,MADHOUSE,2011,4.6,"Drawn to the mystique of the unknown, Hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. Gon Freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father Ging - a master of the profession himself. To reach his goal, he partakes in the formidable Hunter Exam, a series of tests that push the participants to their physical and mental limits, with a Hunter License as the prize. During the exam Gon befriends vengeful Kurapika, doctor-to-be Leorio, and skilled assassin Killua, who have entered for their own reasons. But with the sinister Hisoka standing in their way, will Gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives?","['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen', 'Monsters', 'Superpowers', 'Violence', 'Based on a Manga']"

Code Geass: Lelouch of the Rebellion R2,Code Geass: Hangyaku no Lelouch R2,TV Series,25,Sunrise,2008,4.6,"Area 11 is still under Britannian rule and the Elevens remain brutally oppressed; what’s more, their saviour, Zero, is nowhere to be found and all of Britannia believes the rebellion is finally over. Elsewhere, having lost the battle, Lelouch sets his sights upon winning the war – but the task is no easier since the Britannian forces have learned some valuable lessons all of their own. Not only have they discovered his identity and captured many of his Black Knights, but they now manipulate the memories of all of his friends. Worst of all, they have taken the most precious thing in his life – his dear sister, Nunnally. With his hatred for the Britannians stronger than ever before, Lelouch must now recuperate his forces and bring their rule of terror to an end.","['Mecha', 'Sci Fi', 'Conspiracy', 'Mind Games', 'Original Work', 'Overpowered Main Characters', 'Political', 'Psychological', 'Real Robot', 'Rebellions', 'Rivalries', 'Royalty', 'Superpowers', 'Terrorism']"

March Comes in like a Lion 2nd Season,3-gatsu no Lion 2nd Season,TV Series,22,Shaft,2017,4.6,"Rei continues to work hard at improving his shogi skills, determined to win competitions. When he learns that one of the Kawamoto sisters is facing a crisis, he wants to do everything he can to help, including finding a way to use his shogi winnings to pay them back for all they've done to save him from his pain and loneliness. Meanwhile, Rei's self-appointed rival Nikaidou faces a crisis of his own when his poor health takes a turn for the worse. ","['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Melancholy', 'Orphans', 'Psychological', 'Bullying', 'Based on a Manga']"

Gintama.,No alternative title found,TV Series,12,BN Pictures,2017,4.6,Fifth season of Gintama.,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Mushishi Zoku Shou 2nd Season,Mushishi -Next Passage- 2nd Season,TV Series,10,Artland,2014,4.6,Continuation of Mushishi Zoku Shou.,"['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga']"

JoJo's Bizarre Adventure: Golden Wind,JoJo no Kimyou na Bouken: Kogane no Kaze,TV Series,3,David Production,2018,4.6,"Jotaro asks Koichi to travel to Naples to investigate a person known as Haruno Shiobana, whose real name is later revealed as Giorno Giovanna. The story follows Giorno in his goal to rise to the top of the Passione mafia group and turn it into a band of honorable thieves.","['Action', 'Shounen', 'Supernatural', 'Based on a Manga']"

Gintama.: Shirogane no Tamashii-hen,Gintama: Silver Soul Arc,TV Series,12,BN Pictures,2018,4.6,Final arc of Gintama.,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Clannad After Story,No alternative title found,TV Series,24,Kyoto Animation,2008,4.6,"Summer break is now over; the second semester has started for Tomoya, Nagisa and the others, and little has changed. Since Tomoya's relationship with his father is still troubled, he continues to live with Nagisa and her family, even if it means getting roped into organizing a baseball team for the family bakery. Life at school continues as normal with Sunohara as carefree as ever; however, when his sister Mei voices her concerns about him, the series of events that follow place a strain on Sunohara and Tomoya’s friendship. Whether it's saving a person from themselves or passing on a message from the past, one thing’s for sure: no matter how tough things get, good friends will always be there to help out.","['Drama', 'Romance', 'Coming of Age', 'Family Life', 'Based on a Visual Novel']"

