title,alt_title,type,num_of_ep,studio,year,rating,description,tags

Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,TV Series,13,Brain's Base,2009,4.5,"Life continues as normal for Natsume - he still lives with the friendly Fujiwaras, walks home with his school friends, and spends his free time adventuring with spirits! However, as his encounters soon reveal, the relationship between spirits and humans is a delicate one and not always friendly either. As Natsume slowly uncovers the mystery of his grandmother Reiko as well as his own unique purpose, can he use the Book of Friends to reconcile the needs of spirits and humans?","['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Overlord III,No alternative title found,TV Series,13,MADHOUSE,2018,4.5,Third season of Overlord.,"['Action', 'Fantasy', 'Sci Fi', 'Dark Fantasy', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'RPG', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel']"

Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),The Garden of Sinners Movie 7: Murder Speculation Part B (...not nothing heart.),Movie,1,ufotable,2009,4.5,"Shiki awakes from her coma and starts to live a new life. Meanwhile, a series of murders are occurring after four years of silence. “Who is the murderer?” The incidents remind her of a murderous impulse hidden inside her soul and “SHIKI,” her lost alternate persona. While Shiki searches for a suspect, Mikiya also starts an investigation of his own to prove Shiki is innocent. As he follows a lead of a drug dealer, Mikiya comes across Rio Shirazumi, who was a senior at his high school. Mikiya finds out that Rio is the one who sells the drug called “blood chip” and tries to convince him to stop, but he is instead harmed by Rio.","['Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel']"

Steins;Gate Movie: Load Region of Deja Vu,Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,1,WHITE FOX,2013,4.5,"Kurisu has returned to Akihabara after a year in America, and although she and Okabe have a somewhat romantic reunion, their time together does not last long. Okabe begins to have images of other timelines, and ultimately disappears from everyone's sights and memories. Kurisu must fight against her own heart to decide whether to follow the path of a scientist and follow Okabe's words to not go back in time to get him back, or let her emotions drive her to save her most precious person, no matter what dangerous effects it may have on the world.","['Drama', 'Sci Fi', 'Thriller', 'Time Travel', 'Based on a Visual Novel']"

The Seven Deadly Sins: Revival of The Commandments,Nanatsu no Taizai: Imashime no Fukkatsu,TV Series,24,A-1 Pictures,2018,4.5,"Only six of the Seven Deadly Sins have been located so far, so our heroes travel to the kingdom of Britannia to find the final missing member of their group. New adventures await them, along with powerful new adversaries: an elite group of demonic warriors known as The Ten Commandments!","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Demons', 'Magic', 'Medieval', 'Overpowered Main Characters', 'Pigs', 'Royalty', 'Superpowers', 'Violence', 'Based on a Manga']"

Parasyte -the maxim-,Kiseijuu: Sei no Kakuritsu,TV Series,24,MADHOUSE,2014,4.5,"In secret, alien parasites drift downwards toward Earth. Their directive: to take control of a human body and thrive in secret. When a parasite attempts to take over Shinji, an ordinary high school student, he stops it in his arm to save his mind. With the strange power of amorphous muscle, the curious parasite strikes an uneasy truce with Shinji: it will keep him alive and strong so that it may continue living, and will help protect him from the other parasites that might not take kindly to Shinji's mind still actively working. Can Shinji gain the courage to face the parasites and protect humanity? And would it even make a difference if he did?","['Action', 'Horror', 'Sci Fi', 'Seinen', 'Aliens', 'Body Sharing', 'Psychological', 'Animal Abuse', 'Bullying', 'Explicit Violence', 'Based on a Manga']"

Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,DVD Special,2,Shuka,2017,4.5,Episode 1: The Stump of the Suzunaru Tree,"['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Code Geass: Lelouch of the Rebellion Movie 3,No alternative title found,Movie,1,Sunrise,2018,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Mecha', 'Sci Fi', 'Original Work', 'Real Robot', 'Recap']"

Natsume Yuujinchou Go Specials,Natsume's Book of Friends Season 5 Specials,DVD Special,2,Shuka,2017,4.5,Episode 1: One Night's Cups,"['Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Death Note,No alternative title found,TV Series,37,MADHOUSE,2006,4.5,"Have you ever felt like the world would be a better place if certain people weren’t around? Such grim daydreams might occur when watching the dismal daily news, but on one fateful day, Light Yagami finds that these daydreams can become reality. By pure happenstance, he comes across a black notebook entitled ""Death Note"", whose text within states that whoever's name is written on its pages will die. With the aid of the death god Ryuk, Light takes it upon himself to rid the world of its corruption, ushering in a new era of purity one death at a time. But as Ryuk foretells, Light's actions will not go unchallenged...","['Mystery', 'Shounen', 'Criminals', 'Detectives', 'Mind Games', 'Overpowered Main Characters', 'Psychological', 'Psychopaths', 'Rivalries', 'Serial Killers', 'Shinigami', 'Supernatural', 'Thriller', 'Vigilantes', 'Based on a Manga']"

Major Season 5,No alternative title found,TV Series,25,Studio Hibari,2009,4.5,"Goro is back in Japan; awaiting him are old friends, new enemies, and the opportunity of a lifetime. He finds out just in time about a selection process for the Japan Representatives, a team of all the best Japanese players who will face America in the baseball world cup. In an even more tempting twist, Joe Gibson will be in the American team. For Goro, this is the first chance to represent Japan on the world stage… and his last to take on Joe Gibson in an ultimate showdown!","['Drama', 'Shounen', 'Sports', 'Baseball', 'Based on a Manga']"

Food Wars! Shokugeki no Souma,Shokugeki no Souma,TV Series,24,J.C. Staff,2015,4.5,"Ever since he was little, Souma Yukihira's main goals have been to beat his father in a cooking contest and take over the family diner. That's why, when his dad suddenly announces that he's shutting the restaurant down and sending Souma to cooking school, Souma is shocked. However, Tohtsuki Academy is no ordinary cooking school. This elite institution is filled with culinary giants like Erina ""God Tongue"" Nakiri, who does her best to keep a lowly short-order like Souma from even making it inside the door. However, if the snobs can dish it out, Souma can serve it up, and when he learns that only a handful of the students manage to graduate every year, he swears that the only way he'll leave is as number one!","['Comedy', 'Ecchi', 'Shounen', 'Animeism', 'Boarding House', 'Cooking', 'Culinary School', 'Food and Beverage', 'Neighbors', 'School Life', 'Based on a Manga']"

Steins;Gate 0,No alternative title found,TV Series,23,WHITE FOX,2018,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Drama', 'Sci Fi', 'Time Travel', 'Based on a Visual Novel']"

Quan Zhi Gao Shou (2018),The King's Avatar (2018),OVA,3,G.CMay Animation & Film,2018,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Action', 'Drama', 'Chinese Animation', 'MMORPG', 'RPG', 'Tournaments', 'Based on a Light Novel', 'Based on a Web Novel']"

Hellsing Ultimate,No alternative title found,OVA,10,MADHOUSE,2006,4.5,"Alucard is a vampire who works for Hellsing – an organization responsible for hunting down and destroying other vampires. In these dark times, whoever is bitten by a vampire turns into a ghoul -- with the exception of Seras Victoria, Alucard’s newly created and appointed apprentice. Now, Seras must serve her master, Alucard and work for Integra Wingates Hellsing. Nefarious vampire activities are being reported throughout England, and it all traces back to the organization named “Millennium”. Will the Hellsing organization, under the command of Sir Integra Wingates Hellsing, be able to prevent a full scale war? Or will the world become a battlefield of destruction?","['Action', 'Horror', 'Seinen', 'Conspiracy', 'England', 'Europe', 'Gunfights', 'Master-Servant Relationship', 'Overpowered Main Characters', 'Religion', 'Supernatural', 'Vampires', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Based on a Manga']"

Attack on Titan,Shingeki no Kyojin,TV Series,25,Wit Studio,2013,4.5,"Over a century ago, mankind was devoured by giant beings of unknown intelligence and origin known as Titans – creatures that eat humans alive indiscriminately and for no apparent reason. The remaining population has managed to survive the last hundred years only by building a multi-walled city capable of keeping the Titans at bay, training military recruits to patrol the perimeter and gather intelligence about their mysterious foe. Eren and Mikasa have lived a relatively peaceful life behind the city's walls, but when a massive Titan appears, smashing the outer barrier and unleashing a wave of terror, their lives are brutally changed forever...","['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Overpowered Main Characters', 'Post-apocalyptic', 'Revenge', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']"

Mushishi,No alternative title found,TV Series,26,Artland,2005,4.5,"It isn't unusual for a person to feel that the world around them is strange and has unexpected secrets lying just beyond their sight. However, for most people this is just an occasional sensation that greets them upon awakening or chases them into sleep. For the mushi researcher Ginko, it isn't a feeling at all; it is a knowledge which guides his travels and motivates his life. Found in the cracks between what is conceivable and what is not, are the varied life forms collectively known as mushi. They surround us and affect us, but their intensely different nature makes them unrecognizable to most. Ginko brings these life forms into perspective for the lives of those most affected and most in need of an explanation.","['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga']"

Xiong Bing Lian,Transcend the Gods,Web,33,No studio found,2017,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Action', 'Fantasy', 'Sci Fi', 'CG Animation', 'Chinese Animation', 'Military', 'Supernatural']"

JoJo's Bizarre Adventure: Diamond is Unbreakable,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV Series,39,David Production,2016,4.5,"It has been 11 years since the defeat of the Joestar's arch nemesis, Dio. In 1999, Jotaro Kujo went to Morioh in S City in M Prefecture, Japan, to find his grandfather, Joseph Joestar's secret child, Josuke Higashikata. However, Josuke had the same ability as Jotaro, the Stand. And as though Jotaro was summoning them, a new group of Stand Users start to make their moves. There's something in this town... Josuke rises up to save Morioh, his hometown that he grew up in.","['Action', 'Mystery', 'Shounen', 'Proxy Battles', 'Supernatural', 'Violence', 'Animal Abuse', 'Based on a Manga']"

Gintama: Shinyaku Benizakura-hen,Gintama: The Movie,Movie,1,Sunrise,2010,4.5,"The silver-haired samurai Sakata Gintoki investigates the disappearance of a legendary sword named Benizakura while his partners Kagura and Shimura Shinpachi try to find out what has happened to Gintoki's friend, Kotaro Katsura.","['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Feudal Japan', 'Recap', 'Samurai', 'Swordplay', 'Based on a Manga']"

Noragami Aragoto,No alternative title found,TV Series,13,Bones,2015,4.5,"The struggling god Yato, his Regalia Yukine, and his devotee Hiyori return in this series of Noragami. The history behind Bishamon's grudge against Yato is revealed, while a brewing plot within her cadre of Regalia surfaces. Yato also has a brush with the god of fortune Ebisu, and he finds himself returning to his dark, destructive past.","['Action', 'Shounen', 'Ghosts', 'Gods', 'Japanese Mythology', 'Supernatural', 'Based on a Manga']"

Steins;Gate: Egoistic Poriomania,Steins;Gate: Oukoubakko no Poriomania,DVD Special,1,WHITE FOX,2012,4.5,"Faris is on her way to a competition in Los Angeles and she's invited Okabe, Mayuri, and the rest of the Future Gadget Laboratory to accompany her. However, the gang quickly realizes their American vacation isn't all it's cracked up to be after they're forced to spend the night at a rickety old motel, and Okabe almost gets arrested at the airport! But not even these events can stop the mad scientist from discussing world lines and Kurisu's strange memories.","['Sci Fi', 'Based on a Visual Novel']"

Barakamon,No alternative title found,TV Series,12,Kinema Citrus,2014,4.5,"When calligrapher Sei ""Seishuu"" Handa becomes so enraged at a judge's critique of his work that he actually punches the old man, his father decides that Sei needs to reflect on his behavior and sends him to a remote island to live. Far from the modern conveniences of the city, the moody artist must adapt to his rural environment and his quirky but well-intentioned neighbors. How can he focus on his art when his appliances frequently don't work, his neighbors keep bothering him, and the neighborhood children have turned his house into a secret base?","['Comedy', 'Shounen', 'Slice of Life', 'Art', 'Countryside', 'Island', 'Iyashikei', 'Lifestyle Change', 'Based on a Manga']"

Ghost in the Shell: Stand Alone Complex 2nd Gig,No alternative title found,TV Series,26,Production I.G,2004,4.5,"As cybernetic technology advances, criminal activities are becoming daily common occurrences. For Chief Aramaki and his ELITE squad, Section 9, they are the only ones with the means to put an end to cyber terrorism. Join Togusa, Ishikawa, The Major, Batou, and the rest of the Section 9 team through a intellectual roller coaster ride in the 21st century.","['Sci Fi', 'Cyberpunk', 'Cyborgs', 'Hacking', 'Noir', 'Based on a Manga']"

Violet Evergarden,No alternative title found,TV Series,13,Kyoto Animation,2018,4.5,"Auto Memories Doll. It's been quite a while since that name caused a fuss. Originally invented by Professor Orland solely for his beloved wife, Auto Memories Dolls eventually spread out into the world, and a machine that allows people to rent out the dolls was also created. ""I will run as fast as I can to wherever my customer desires. I am the Auto Memories Doll, Violet Evergarden."" A girl who almost appears to have popped out of a fairy tale with her blonde hair and blue eyes said this with her inorganic beauty and sweet voice.","['Drama', 'Sci Fi', 'Melancholy', 'War', 'Based on a Light Novel']"

Attack on Titan 2nd Season,Shingeki no Kyojin 2nd Season,TV Series,12,Wit Studio,2017,4.5,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!","['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Overpowered Main Characters', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']"

Black Butler: Book of the Atlantic,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,A-1 Pictures,2017,4.5,"Ciel Phantomhive and his demonic butler, Sebastian, are back! And this next case has Ciel and Sebastian treading some rough waters. Aboard the luxury liner Campania, the two investigate an illegal human experiment that involves resurrecting the dead. But the closer they get to the truth, the closer they are to their own deaths! Will this be their final case or will one hell of a butler keep them afloat?","['Shounen', '19th Century', 'Butlers', 'Europe', 'Master-Servant Relationship', 'Supernatural', 'Based on a Manga']"

Anohana: The Flower We Saw That Day,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV Series,11,A-1 Pictures,2011,4.5,"Long ago, young Meiko Honma tragically died and her tight-knit group of friends, shaken by the event, drifted apart. Now, ten years later, Meiko has re-appeared as a ghost that only Jinta, the former leader of the gang and an avid shut-in, can see. All she desires is for Jinta to fulfill her final wish so that she can move on to the afterlife, but with no memory of what it was, it’s up to the teenager to gather his former friends and discover what will allow his beloved friend to rest in peace. With so many feelings left unsaid, can this group work out their strife and help the ghost of the girl they once adored?","['Drama', 'Romance', 'Childhood Friends', 'Coming of Age', 'Ghosts', 'Melancholy', 'noitaminA', 'Original Work', 'Supernatural']"

No Game No Life,No alternative title found,TV Series,12,MADHOUSE,2014,4.5,"An urban legend states that those exceptionally gifted at gaming will be sent a special game invitation, and the winners of the challenge will be whisked away to another world. When Sora and Shiro, two hikikomori NEETs who happen to be both siblings and notorious gamers, receive this invitation, they defeat it with ease. And like the legends tell, they're transported to another world where conflicts, peoples' lives and even country borders are decided by competitions and games. Always up for a challenge, the pair quickly take on the obstacles that come their way, whether it be restoring lowly humanity's good name compared with the other races or helping influence who will become the next king.","['Adventure', 'Ecchi', 'Fantasy', 'High Stakes Games', 'Overpowered Main Characters', 'Person in a Strange World', 'PVP', 'Royalty', 'Siblings', 'Based on a Light Novel']"

Chihayafuru 2,No alternative title found,TV Series,25,MADHOUSE,2013,4.5,"After an exciting year for the Mizusawa High School karuta club, a new semester begins as two new members join the group. Ever passionate for the old card game, Chihaya sets ambitious goals for herself and for her friends competing in two extremely difficult high school championships, strengthening her team's skills.though not without facing inner-team rivalry and competition for Taichi's affections!","['Drama', 'Josei', 'Romance', 'Sports', 'Love Triangle', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga']"

JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV Series,24,David Production,2015,4.5,"After 30 days of travel across the world, plagued with countless battles, Jotaro and his companions have finally arrived in Egypt! Now only the strongest Stand users remain to rebuff our heroes' final march on Cairo: The Nine Egyptian Gods, Dio's most zealous servants. Will the Joestar line fall to the monstrous vampire, or can Jotaro defeat Dio and save his mother's life?","['Action', 'Adventure', 'Comedy', 'Shounen', 'Monster-of-the-week', 'Proxy Battles', 'Supernatural', 'Animal Abuse', 'Explicit Violence', 'Based on a Manga']"

That Time I Got Reincarnated as a Slime,Tensei Shitara Slime Datta Ken,TV Series,4,8-Bit,2018,4.5,"Lonely thirty-seven-year-old Satoru Mikami is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy realm...as a slime monster! As he acclimates to his goopy new existence, his exploits with the other monsters set off a chain of events that will change his new world forever!","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Monsters', 'Person in a Strange World', 'Reincarnation', 'RPG', 'Violence', 'Based on a Light Novel']"

Maquia - When the Promised Flower Blooms,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,P.A. Works,2018,4.5,"A gentle, enchanted race of weavers, the Iolph pass the many centuries of their lives crafting their traditional fabrics in their idyllic, isolated village. Among this perpetually youthful tribe is Maquia, beloved by all but touched by loss and loneliness. The peace is shattered when soldiers arrive astride dragons, dispatched by the King of Mesate to wrest away the spoils and secrets of the Iolph. Maquia succeeds in escaping, only to find herself cast into the unknown wilderness. When she discovers an orphaned baby boy, as lost and forlorn as she, Maquia feels compelled to care for him as they seek their way in the world of humans – a world in growing turmoil. The bond between Maquia and her ward Erial, however, is one woven with threads of tragedy.","['Drama', 'Original Work']"

Shouwa Genroku Rakugo Shinjuu,No alternative title found,TV Series,13,Studio Deen,2016,4.5,"When a small-time crook is released from prison, he is determined to turn his life around by apprenticing himself to the great rakugo master Yakumo VIII, inspired by his performance of ""Shinigami"" during his incarceration. Surprisingly, the old man agrees to train him and brings his new apprentice to his own house to live, giving him the name ""Yotaro"", a classical word used in rakugo meaning ""fool"". Yakumo has much to teach about the art of rakugo, but both he and his ward Konatsu- a hot-headed young woman whose father was also a famous storyteller- are difficult people with a shared dark past. Yakumo refuses to train her, claiming that the world of rakugo is no place for women, and Konatsu has vowed to kill him, claiming that Yakumo murdered her father!","['Drama', 'Josei', 'Romance', 'Adult Couples', 'Animeism', 'Apprenticeship', 'Historical', 'Love Triangle', 'Based on a Manga']"

Tengen Toppa Gurren Lagann,Gurren Lagann,TV Series,27,Gainax,2007,4.5,"Simon lives a boring life in the underground village of Jeeha, where his main job day in and day out is to dig tunnels. His close friend Kamina, however, longs to bust out of their oppressive existence and reach the surface world where open skies and adventure await! One day, during his usual digs, Simon discovers a robot with a big face buried amongst the rocks. No sooner has he shown Kamina his mysterious find when two beings from the surface crash land into Jeeha Village - one is a gun-toting woman calling herself Yoko and the other is a terrifying mecha piloted by a Beastman! Seeing their chance to escape village drudgery, Kamina rallies Simon and Yoko to defeat the invader using their new robot, Lagann. However, upon breaking out onto the surface world, Simon, Kamina, and Yoko encounter enemies more powerful than they could have envisioned. Their fight for adventure just turned into a war for the survival of the human race - will their lust for freedom hold out against such terrible odds?","['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci Fi', 'Combining Mecha', 'Original Work', 'Post-apocalyptic', 'Super Robot', 'Violence']"

Bakuman. 2,No alternative title found,TV Series,25,J.C. Staff,2011,4.5,"With their manga, Detective Trap, about to begin serialization, Mashiro and Takagi are on cloud nine. But just obtaining a regular series in Shounen Jack is only the start, as they must work harder than ever to stay high enough in the rankings and avoid cancellation. Now, as the pair gets used to working with both assistants and their new editor, the enthusiastic and inexperienced Miura, they prepare to battle it out in the user surveys. But have they struck it lucky with their new editor, and will they be able to keep up the pace as they compete with their friends, take the manga world by storm, and attain that all-important goal of having their story become an anime?","['Drama', 'Shounen', 'Anime Industry', 'Manga Industry', 'Otaku Culture', 'Voice Acting', 'Writers', 'Based on a Manga']"

Spice and Wolf II,Ookami to Koushinryou 2,TV Series,12,Brain's Base,2009,4.5,"Kraft Lawrence and the proud wolf Holo the Wise continue their northward journey to Holo's mountain homeland of Yoitsu. As the two visit new towns and make new friends a growing relationship buds between them, and Kraft begins to realize that there is more to being a traveling merchant than just profits. However, a turn of events leaves Kraft in an unexpected predicament where he may lose something more precious than just his cart of goods...","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Adult Couples', 'God-Human Relationship', 'Gods', 'Mature Romance', 'Medieval', 'Based on a Light Novel']"

Evangelion: 2.0 You Can (Not) Advance,No alternative title found,Movie,1,Studio Khara,2009,4.5,"As the battle against the angels continues Shinji and Rei receive reinforcements in the form of two new pilots: the temperamental Asuka Langley and the secretive Mari Illustrious. Between battles the pilots find time to try and create the semblance of a normal life, but following a traumatic battle Shinji decides to quit his position and leave Nerv. Just then the most powerful angel yet arrives, launching a devastating attack against Nerv headquarters, brushing aside all resistance and threatening to consume the only thing Shinji holds dear...","['Action', 'Drama', 'Mecha', 'Sci Fi', 'Post-apocalyptic', 'Super Robot']"

Mob Psycho 100,No alternative title found,TV Series,12,Bones,2016,4.5,"Kageyama Shigeo, a.k.a. ""Mob,"" is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make?","['Action', 'Comedy', 'Shounen', 'Overpowered Main Characters', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga']"

One Piece Movie 10: Strong World,No alternative title found,Movie,1,Toei Animation,2009,4.5,"Twenty years ago, the notorious pirate, Gold Lion Shiki, managed to achieve the impossible: he became the first person to escape from the maximum-security marine prison, Impel Down. Having spent the last two decades in hiding, Shiki has now returned, and he has a series of nefarious plans in mind. One day, after a chance encounter with Luffy and the gang, Shiki takes a liking to Nami’s talents as a navigator and decides to claim her for his own, scattering the rest of the crew across his various floating islands in the sky. Now, Luffy and the Straw Hats must fight their way past Skiki’s army of modified animals in order to save their comrade and stop the Gold Lion’s plot to destroy East Blue and gain control over the world.","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Pirates', 'Superpowers', 'Based on a Manga']"

Gintama OVA,Gintama: Aizome Kaori-hen,OVA,2,BN Pictures,2016,4.5,"In the ""Love Potion"" story arc, a strange incense causes the people who smell it to fall in love with the first person they see. Tsukuyo tries to collect the incense, but the smoke affects her. The Yorozuya and the entire district fall under the love potion's influence.","['Action', 'Comedy', 'Drama', 'Romance', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']"

Hajime no Ippo: Champion Road,No alternative title found,Movie,1,MADHOUSE,2003,4.5,"Ippo's ready to face his greatest test thus far as a boxer, but his next opponent is completely unlike anyone he's fought before! Cool, calculating, and possessing an intelligence rivaled only by his ferocity, he is the brains against Ippo's brawn. To make matters worse, an old rival from Coach Kamogawa's past has returned to guide Ippo's genius opponent, and he brings with him knowledge of a secret attack that's supposed to be... unbeatable!","['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Based on a Manga']"

Fate/stay night: Unlimited Blade Works 2,No alternative title found,TV Series,13,ufotable,2015,4.5,"The highly anticipated second half of the famed visual novel-based anime, Fate/stay night: Unlimited Blade Works continues where the plot left off in the first half of the series, focusing on a group of masters fighting to obtain the holy grail with the help of their mystical servants, heroic sprits with great power from the ages past.","['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Superpowers', 'Urban Fantasy', 'Violence', 'Based on an Eroge', 'Based on a Visual Novel']"

Black Lagoon: The Second Barrage,No alternative title found,TV Series,12,MADHOUSE,2006,4.5,"It has been a year since Rock joined the crew of the Black Lagoon, and while becoming accustomed to life in Roanapur, he also gets involved in many dangerous circles. With the level of violence increasing by the day, Hotel Moscow takes advantage of Rock's talents, and he soon finds himself intimately involved in their struggle for power. A series of events eventually lead Rock back to Japan as a translator for Balalaika, where he soon finds himself confronted with the choice of returning to his old life or continuing with the new. While questioning where his morals lie, Rock must decide, once and for all, whether or not to call the Black Lagoon home.","['Action', 'Seinen', 'Gangs', 'Gunfights', 'Lifestyle Change', 'Mercenaries', 'Violence', 'Mature Themes', 'Nudity', 'Based on a Manga']"

Attack on Titan: No Regrets,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Wit Studio,2014,4.5,"The young Erwin Smith is a rising star in the Survey Corps, humanity’s only hope of defeating the man-eating monsters known as Titans. Ruthless and dispassionate, Erwin’s mind is devoted to strategies and intrigue. But beneath Erwin’s feet is another world, the Underground, where humans are born and die surrounded by the garbage the Capital throws away. Here, the criminal Levi survives on his wits and agility. But when these two ambitious men cross paths, who will prove himself stronger?","['Action', 'Fantasy', 'Shoujo', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']"

Magi: The Kingdom of Magic,No alternative title found,TV Series,25,A-1 Pictures,2013,4.5,"Equipped with a charm to mask his powers as a Magi, Aladdin arrives to Magnoshutatt to study magic, with another goal—to investigate the nation’s relation with the Al-Tharmen, the power behind the “Abnormalities of the World.” While training at the academy, Aladdin meets Titus Alexius, a prodigy from the Leam Empire, who also has the same charm as Aladdin’s. An all-new adventure big enough to change the world begins now.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Magic', 'Magic School', 'Middle Eastern', 'Political', 'School Life', 'Based on a Manga']"

Haikyuu!!: Tokushuu! Harukou Volley ni Kaketa Seishun,No alternative title found,OVA,1,Production I.G,2017,4.5,"The OVA will look back at the spring tournament primaries, and feature ""interviews"" with the players.","['Shounen', 'Sports', 'Volleyball', 'Based on a Manga']"

Kuroko's Basketball,Kuroko no Basket,TV Series,25,Production I.G,2012,4.5,"They were known as the 'Generation of Miracles' – five basketball prodigies who helped lead Teiko Middle School's basketball team to glory, defeating anyone who got in their way. But a mysterious rumor tells of a sixth, a phantom player who the five prodigies respected greatly. That boy is Tetsuya Kuroko, a freshman at Seirin High and the newest member of the basketball club. Alongside strong teammates such as Taiga Kagami, Kuroko will use his unique skills on the court to help the team defeat old rivals and make their way to the championships.","['Shounen', 'Sports', 'Basketball', 'School Club', 'Tournaments', 'Based on a Manga']"

The Girl Who Leapt Through Time,Toki wo Kakeru Shoujo,Movie,1,MADHOUSE,2006,4.5,"Makoto Konno is a somewhat foolish and tomboyish high school student who spends most of her time hanging out with her two male friends. Things change one day when she suddenly gains the ability to leap through time! At first, she uses her newfound ability to do things such as preventing her sister from stealing her dessert, cheating on a test, and singing Karaoke for 10 hours. However, the small alterations she makes to the timeline turn out to have unforeseen consequences that snowball into dramatic and lethal situations for her and those around her...","['Romance', 'Sci Fi', 'Slice of Life', 'School Life', 'Time Travel', 'Based on a Novel']"

Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA,1,Brain's Base,2014,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

